Date,Open,High,Low,Close,Volume
08/22/2022,"17.49","17.56","16.97","17.03","409,592,726"
08/19/2022,"18.41","18.52","17.77","17.85","441,588,316"
08/18/2022,"18.30","18.86","18.18","18.77","415,446,596"
08/17/2022,"18.52","18.69","18.15","18.34","446,799,096"
08/16/2022,"18.92","19.14","18.50","18.88","451,239,605"
08/15/2022,"18.70","19.16","18.61","19.03","457,665,585"
08/12/2022,"18.16","18.72","17.95","18.71","478,094,215"
08/11/2022,"18.13","18.71","17.88","17.94","509,326,595"
08/10/2022,"17.70","18.12","17.32","18.10","597,422,454"
08/09/2022,"17.25","17.45","16.72","17.09","668,262,723"
08/08/2022,"17.50","18.24","17.24","17.79","983,783,190"
08/05/2022,"18.81","19.23","18.67","18.99","386,068,316"
08/04/2022,"18.85","19.27","18.76","19.22","409,652,296"
08/03/2022,"18.18","18.97","18.14","18.89","418,145,586"
08/02/2022,"18.12","18.94","18.09","18.53","489,526,875"
08/01/2022,"18.18","18.85","17.99","18.44","476,468,975"
07/29/2022,"17.81","18.24","17.69","18.16","435,460,386"
07/28/2022,"17.98","18.14","17.44","17.98","474,646,325"
07/27/2022,"17.03","17.94","16.91","17.79","569,776,204"
07/26/2022,"16.89","16.92","16.48","16.53","397,864,876"
07/25/2022,"17.02","17.12","16.65","17.02","480,747,535"
07/22/2022,"17.89","17.97","17.14","17.32","536,670,895"
07/21/2022,"17.89","18.14","17.54","18.05","557,049,294"
07/20/2022,"16.95","17.93","16.80","17.81","760,537,722"
07/19/2022,"16.49","17.11","16.17","16.99","702,366,083"
07/18/2022,"16.30","16.90","16.00","16.10","670,517,493"
07/15/2022,"15.66","15.78","15.45","15.76","385,935,506"
07/14/2022,"15.11","15.47","14.73","15.37","456,234,795"
07/13/2022,"14.59","15.38","14.47","15.16","521,918,315"
07/12/2022,"15.27","15.43","14.88","15.08","458,483,115"
07/11/2022,"15.53","15.53","15.04","15.15","438,388,706"
07/08/2022,"15.43","16.04","15.39","15.84","467,971,795"
07/07/2022,"15.46","15.95","15.39","15.86","492,902,805"
07/06/2022,"15.01","15.32","14.79","15.13","529,065,935"
07/05/2022,"14.18","14.97","14.06","14.96","652,207,653"
07/01/2022,"14.90","15.06","14.39","14.52","577,610,034"
06/30/2022,"15.36","15.57","14.86","15.16","686,069,993"
06/29/2022,"15.81","15.82","15.17","15.54","482,352,295"
06/28/2022,"16.90","17.20","15.95","15.98","461,859,405"
06/27/2022,"17.31","17.33","16.63","16.87","427,967,926"
06/24/2022,"16.50","17.14","16.31","17.13","472,152,805"
06/23/2022,"16.52","16.59","15.85","16.23","463,679,605"
06/22/2022,"16.23","16.66","16.18","16.36","437,997,376"
06/21/2022,"16.47","17.01","16.41","16.57","483,088,865"
06/17/2022,"15.65","16.00","15.33","15.88","630,334,014"
06/16/2022,"15.86","15.94","15.40","15.60","545,748,745"
06/15/2022,"16.10","16.87","15.93","16.53","563,935,654"
06/14/2022,"15.73","16.07","15.41","15.84","469,679,525"
06/13/2022,"16.00","16.31","15.61","15.65","604,153,394"
06/10/2022,"17.60","17.70","16.87","16.97","465,649,685"
06/09/2022,"18.48","18.93","18.04","18.05","395,573,786"
06/08/2022,"18.80","19.18","18.54","18.65","363,252,456"
06/07/2022,"18.47","19.00","18.19","18.93","388,914,056"
06/06/2022,"19.14","19.34","18.56","18.79","422,406,206"
06/03/2022,"19.08","19.33","18.52","18.72","598,778,664"
06/02/2022,"18.29","19.62","18.20","19.59","648,655,774"
06/01/2022,"18.72","19.05","18.12","18.32","544,513,905"
05/31/2022,"18.98","19.20","18.35","18.67","664,099,523"
05/27/2022,"18.19","18.88","18.10","18.81","738,379,373"
05/26/2022,"16.04","18.09","16.02","17.85","996,574,440"
05/25/2022,"16.02","17.11","16.00","16.98","781,131,942"
05/24/2022,"16.51","16.60","15.78","16.15","588,550,034"
05/23/2022,"16.27","16.92","16.18","16.90","639,888,704"
05/20/2022,"17.33","17.41","15.76","16.69","739,105,303"
05/19/2022,"16.94","17.69","16.73","17.12","621,309,564"
05/18/2022,"17.71","18.12","16.86","16.94","545,161,085"
05/17/2022,"18.07","18.37","17.63","18.18","585,829,724"
05/16/2022,"17.51","17.79","17.11","17.26","521,446,015"
05/13/2022,"16.79","17.93","16.59","17.71","670,436,473"
05/12/2022,"16.22","16.79","15.57","16.18","708,728,433"
05/11/2022,"17.35","17.75","16.57","16.63","670,167,023"
05/10/2022,"17.69","18.20","17.03","17.60","761,474,292"
05/09/2022,"18.03","18.26","16.83","16.95","644,454,484"
05/06/2022,"18.74","19.51","17.99","18.68","633,296,714"
05/05/2022,"19.87","19.93","18.50","18.84","626,331,404"
05/04/2022,"19.92","20.40","18.75","20.33","648,854,604"
05/03/2022,"19.40","19.83","19.13","19.60","475,750,775"
05/02/2022,"18.54","19.57","18.39","19.53","572,048,704"
04/29/2022,"19.40","20.13","18.52","18.55","500,434,875"
04/28/2022,"18.97","20.04","18.49","19.78","570,326,714"
04/27/2022,"18.60","19.17","18.29","18.42","499,460,195"
04/26/2022,"19.72","19.79","18.67","18.79","653,142,453"
04/25/2022,"19.20","19.95","19.10","19.90","641,565,544"
04/22/2022,"20.30","20.49","19.50","19.52","624,713,394"
04/21/2022,"21.71","22.39","20.00","20.18","656,209,373"
04/20/2022,"22.52","22.67","21.20","21.48","468,974,405"
04/19/2022,"21.72","22.37","21.31","22.20","512,780,585"
04/18/2022,"21.20","22.09","21.08","21.78","525,700,585"
04/14/2022,"22.51","22.78","21.16","21.26","569,096,904"
04/13/2022,"21.73","22.50","21.46","22.20","516,943,395"
04/12/2022,"22.54","22.73","21.28","21.50","662,258,043"
04/11/2022,"22.21","22.32","21.66","21.92","575,206,794"
04/08/2022,"23.92","23.92","23.06","23.12","524,780,585"
04/07/2022,"24.44","24.72","23.48","24.21","557,992,374"
04/06/2022,"24.93","25.30","24.00","24.41","703,832,653"
04/05/2022,"27.25","27.32","25.82","25.93","436,614,726"
04/04/2022,"26.73","27.56","26.61","27.36","397,707,806"
04/01/2022,"27.38","27.50","26.27","26.71","517,235,115"
